DATE_CHA,X,2,0
DAY,9,2,0
DAYS,9,3,0
DBGK_TYP,X,1,0
DC_TYP,X,3,0
DCHK_CD,X,2,0
DCTL_TYP,9,9,0
DD_AC,X,25,0
DD_RF_NO,X,12,0
DDA_REF,X,14,0
DEAL_MTH,X,39,0
DEBY_MTH,X,1,0
DEC_18,9,18,8
DECR_NO,X,11,0
DEP_KND,X,3,0
DEP_SEQ,9,5,0
DEPO_STS,X,1,0
DEPO_TYP,X,2,0
DEPR_NO,X,16,0
DEREF_NO,X,18,0
DESC_120,X,120,0
DESC_140,X,140,0
DESC_160,M,160,0
DESC_180,M,180,0
DESC_20,X,20,0
DESC_30,M,30,0
DESC_31,X,31,0
DESC_40,X,40,0
DESC_50,M,50,0
DESC_500,V,500,0
DESC_60,M,60,0
DESC_64,M,64,0
DESC_90,M,90,0
DESCE_30,X,30,0
DESCE_40,X,40,0
DESCE_45,X,45,0
DESCE_60,X,60,0
DESCE40,X,40,0
DESC120,X,120,0
DESE_120,X,120,0
DEVHXA,9,60,0
DEVHXL,M,30,0
DFREF_NO,X,9,0
DFSEQ_NO,9,8,0
DICF_NM,X,8,0
DIR,X,30,0
DISP_DT,X,10,0
DISP_TM,X,8,0
DOC_CD,9,2,0
DOC_TYP,X,1,0
DOCG,X,96,0
DOCNAMEG,X,20,0
DP,9,3,0
DPT_NO,X,3,0
DQTY,9,18,0
DR_CARD,X,19,0
DRAW_MTH,X,1,0
DRCRFLG,X,1,0
DRFT_NO,X,16,0
DRFT_TYP,X,3,0
DS_MT_CD,X,25,0
DSC_MTH,X,1,0
DSC_NO,X,8,0
DSGOODS,X,325,0
DT,9,8,0
DT_TYP,X,1,0
DUE,9,3,0
DVN_NO,X,3,0
DWEL_PLC,M,100,0
E_ADDR,X,100,0
ECAC_SEQ,X,9,0
ECG_AC,X,15,0
ECO_CD,X,4,0
EDU_LVL,X,2,0
EMAIL,X,50,0
ENC_CD,X,2,0
ENC_TYP,X,2,0
ENDO_SE,X,6,0
ENQ_CD,X,7,0
ENTY_SEQ,X,11,0
ENTY_TYP,X,1,0
ENTY_11,X,11,0
ENTY_16,X,16,0
ENTY_21,X,21,0
ENTY_32,X,32,0
ERPBR_NO,9,9,0
ES_ADDR,M,40,0
ESTAT_CD,X,5,0
